date,open,high,low,close,Volume ETH,Volume USDT,tradecount
2018-06-17 12-AM,496.74,499.66,496.17,497.61,4670.42,2325267.51,NULL
2018-06-16 11-PM,500.51,500.98,494,496.74,4151.88,2066075.62,NULL
2018-06-16 10-PM,499.98,502.95,499.43,500.51,6092.27,3047847.48,NULL
2018-06-16 09-PM,498.16,500.78,497.77,499.98,2197.23,1097366.74,NULL
2018-06-16 08-PM,497.09,499.9,496.39,498.16,3540.34,1763444.65,NULL
2018-06-16 07-PM,499.48,499.89,493.52,497.09,6285.72,3123887.07,NULL
2018-06-16 06-PM,500.01,502,498.24,499.48,5188.3,2591578.73,NULL
2018-06-16 05-PM,499.84,502.71,496.16,500.01,5602.26,2794814.01,NULL
2018-06-16 04-PM,486.06,503.28,483.96,499.84,9508.56,4704290.37,NULL
2018-06-16 03-PM,490.2,490.85,483.72,486.06,6333.37,3085001.23,NULL
2018-06-16 02-PM,490.21,491.67,488.82,490.2,4021.8,1970432.26,NULL
2018-06-16 01-PM,495.71,495.8,486,490.21,8451.95,4141987.6,NULL
2018-06-16 12-PM,497.46,499.5,494.52,495.71,6044.75,3005175.36,NULL
2018-06-16 11-AM,497.5,500.97,495.65,497.46,4090.5,2037121.96,NULL
2018-06-16 10-AM,496.75,502.98,495.36,497.5,7589.39,3795121.02,NULL
2018-06-16 09-AM,496.42,498.84,495.27,496.75,4024.76,1999510.71,NULL
2018-06-16 08-AM,497.4,498.42,493.36,496.42,3755.54,1862031.6,NULL
2018-06-16 07-AM,497.43,499.75,496.76,497.4,3246.38,1616207.62,NULL
2018-06-16 06-AM,497.65,498.77,494.5,497.43,5058.05,2511770.14,NULL
2018-06-16 05-AM,495.28,500.49,494.84,497.65,5608.12,2790060.51,NULL
2018-06-16 04-AM,491.08,496.82,490.7,495.28,6663.19,3295301.25,NULL
2018-06-16 03-AM,494.43,494.74,489.96,491.08,5654.52,2784305.37,NULL
2018-06-16 02-AM,493.5,495,492.23,494.43,5016.5,2477298.99,NULL
2018-06-16 01-AM,487.41,494.32,484,493.5,5060.89,2472602.34,NULL
2018-06-16 12-AM,487.48,491.67,485.87,487.41,3519.48,1720543.45,NULL
2018-06-15 11-PM,487.8,489.41,481.62,487.48,7128.97,3461672.78,NULL
2018-06-15 10-PM,493.24,493.84,487.21,487.8,4040.7,1980705.29,NULL
2018-06-15 09-PM,494.08,494.71,491.35,493.24,3740.06,1845644.57,NULL
2018-06-15 08-PM,495.94,496.7,487.94,494.08,8336.44,4105179.9,NULL
2018-06-15 07-PM,499.63,499.73,494.19,495.94,6487.1,3224975.84,NULL
2018-06-15 06-PM,501.1,501.68,498.21,499.63,3628.94,1813969.95,NULL
2018-06-15 05-PM,504.03,504.39,495.38,501.1,8067.36,4028611.1,NULL
2018-06-15 04-PM,503.83,512.04,501.52,504.4,9353.5,4737737.77,NULL
2018-06-15 03-PM,497.9,505.12,494.5,503.83,7197.13,3593876.33,NULL
2018-06-15 02-PM,491.25,500.26,489.1,497.9,9296.36,4577590.75,NULL
2018-06-15 01-PM,487.82,492.53,485.5,491.25,6128.73,3001562.22,NULL
2018-06-15 12-PM,495.64,495.83,485.6,487.82,9451.91,4630487.75,NULL
2018-06-15 11-AM,499.5,507.94,491,495.64,14407.87,7180070.8,NULL
2018-06-15 10-AM,498.01,500.93,495.74,499.5,3732.8,1859239.15,NULL
2018-06-15 09-AM,503.87,504.06,489.39,498.01,9947.36,4928787.69,NULL
2018-06-15 08-AM,504.93,506.42,502.4,503.87,4337.52,2188063.06,NULL
2018-06-15 07-AM,508.34,509.99,503.38,504,4086.05,2068975.53,NULL
2018-06-15 06-AM,505.07,512.29,504.5,508.34,4882.45,2479473.33,NULL
2018-06-15 05-AM,503.71,506.94,501,505.07,4543.19,2288898.95,NULL
2018-06-15 04-AM,512.93,513.83,501,503.71,6697.83,3402304.66,NULL
2018-06-15 03-AM,512.06,514.92,511.59,512.93,3356.41,1722117.65,NULL
2018-06-15 02-AM,512.99,513.58,510.12,512.06,4696.35,2403244.9,NULL
2018-06-15 01-AM,515.33,516.72,510.58,512.99,5620.35,2889301.79,NULL
2018-06-15 12-AM,519.29,521,513.3,515.33,3360.63,1740185.86,NULL
2018-06-14 11-PM,515.6,519.7,512.45,519.29,3683.41,1902368.79,NULL
2018-06-14 10-PM,515.53,519.2,511.1,515.6,5732.6,2951831.47,NULL
2018-06-14 09-PM,519.03,520.67,515.14,515.53,1609.67,834225.86,NULL
2018-06-14 08-PM,519.65,525.3,517.83,519.03,7174.03,3742425.43,NULL
2018-06-14 07-PM,519.11,520.29,514.52,519.65,8221.59,4252587.77,NULL
2018-06-14 06-PM,512.86,529,512.01,519,14676.63,7610333.35,NULL
2018-06-14 05-PM,503.92,526.88,498.45,512.86,34014.97,17484191.22,NULL
2018-06-14 04-PM,463.83,513.13,463.82,503.92,21845.34,10720079.68,NULL
2018-06-14 03-PM,474.27,474.85,460,463.83,6831.8,3185118.79,NULL
2018-06-14 02-PM,472,477.86,472,474.27,3642.52,1728843.58,NULL
2018-06-14 01-PM,483.48,485.26,470.11,472,9338.6,4447338.17,NULL
2018-06-14 12-PM,487.95,488.2,481.23,483.48,4823.23,2337422.26,NULL
2018-06-14 11-AM,485.93,489.9,485.4,487.95,4203.9,2050922.75,NULL
2018-06-14 10-AM,487.73,489,483,485.93,5429.87,2641909.77,NULL
2018-06-14 09-AM,484.82,489.63,484.82,487.73,3518.64,1713097.11,NULL
2018-06-14 08-AM,482.74,490.5,482.74,484.82,5685.45,2769260.32,NULL
2018-06-14 07-AM,485.38,485.92,479.68,482.74,3785.49,1827286.31,NULL
2018-06-14 06-AM,486.2,488,483.01,485.38,3734.54,1813810.95,NULL
2018-06-14 05-AM,485.65,490,482.06,486.2,5886.3,2861810.48,NULL
2018-06-14 04-AM,486.32,488.9,485.01,485.65,4152.24,2021261.25,NULL
2018-06-14 03-AM,487.19,491,484.14,486.32,6885.1,3351602.27,NULL
2018-06-14 02-AM,471,495.24,471,487.19,17532.97,8484617.21,NULL
2018-06-14 01-AM,474.5,477.59,468.67,471,3644.24,1725524.37,NULL
2018-06-14 12-AM,475.47,479.1,473.56,474.5,4467.43,2130278.43,NULL
2018-06-13 11-PM,475.99,477.97,470.75,475.47,4078.22,1934964.04,NULL
2018-06-13 10-PM,468.96,476.88,468.96,475.99,3521.7,1666135.23,NULL
2018-06-13 09-PM,469.94,472.83,464.01,468.96,2813.11,1317761.54,NULL
