Open,High,Low,Close,Volume USDT
861.91,865.15,860.44,863.55,821075.26
862.1,863.94,859.59,861.91,769086.28
860,862.96,857.13,862.1,1361957.68
861.57,863.24,860,860,1011782.46
861.29,866.31,861,861.57,1333349.54
863.96,865.48,860.01,861.96,1462278.81
864.54,866.79,862.21,863.96,1416840.76
866.51,869.32,862,864.54,1373562.72
866.99,870.78,864,866.51,1698163.9
860.78,868.58,860.78,866.99,1903148.04
856.28,862.15,856.22,860.78,958326.1
860.44,863.61,852.4,856.28,1306861.09
858.5,863,857.49,860.44,1314505.23
857.57,860.01,854.61,858.5,1328050.16
853.29,859.7,851.29,857.57,934207.39
856.9,857.5,850,853.29,784145.75
856.65,858.56,853.79,856.9,637008.21
856.09,857.59,853,856.65,706291.14
854.77,857.22,852.32,856.09,809408.38
850.66,856.45,850.46,854.77,1220069.09
861.01,863.33,850,850.66,2537898.11
863.95,866,859.95,861.01,1046501.18
859.66,864.85,859.02,863.95,1137062.77
861.94,862.45,856.03,859.66,1377961.43
861.97,864.61,859.64,861.94,1478892.38
870.99,871,860.87,861.97,1811468.86
868.32,872.6,866.75,870.99,1061101.93
871.48,872.89,866,868.32,1583783.62
869.23,874.16,868.54,871.48,1298441.23
871.51,871.95,868.4,869.23,2170418.33
873.11,874.86,868.4,871.51,1938652.02
872.01,875.5,872,873.11,1207590.11
874.69,875.99,871.02,872.01,1365317.72
869.41,876.22,868.4,874.69,2135345.57
870.63,875.45,866.3,869.41,1591682.4
873.38,875,868.04,870.63,1361089.56
869.1,873.45,864.87,873.38,1480982.31
878.82,879.01,867.66,869.1,1192924.01
874,879.89,873,878.82,1197532.99
877.98,879.9,872,874,1179809.92
875,879.96,873.34,877.98,2336837.88
869.06,877,867.12,875,2240836.46
866.18,870,864.21,869.06,1208621.12
868.25,869,863,866.18,1297754.25
870.4,872.42,868.03,868.25,1629627.22
864.85,873.55,864.5,870.4,2340782.22
869.07,872,863,864.85,1537825.8
874.49,874.62,869,869.07,1275213.18
868.11,874.51,867,874.49,2488618.7
869.75,871,865.48,868.11,1205428.98
866,872.24,865.62,869.75,2178573.92
860.05,868,860,866,1753929.73
857.73,861.29,857.4,860.05,1001940.38
860,860.12,857,857.73,832730.78
855.24,863.5,855.22,860,1184505.84
853,857.49,850.35,855.24,888686.48
857.35,861.93,852.5,853,1581939.81
858,858.62,851.02,857.35,1222054.22
853.5,858.61,848.65,858,1957105.11
858.35,861.36,850.3,853.5,2197945.47
864.39,865.5,858.34,858.35,1244211.97
872.51,875,862.5,864.39,1183236.62
869.6,874.99,868.7,872.51,1368047.18
866,870,865.31,869.6,715180.33
866.5,870.99,863.4,866,907237.57
863.5,869.53,862,866.5,1114240.05
869.19,872,862,863.5,1619208.33
869,874.8,866,869.19,1237973.04
865.85,873.61,861.9,869,1668484.73
859.56,868,854.71,865.85,1605342.99
864.53,868.92,855,859.56,3520227.78
864.81,871.25,861.17,864.53,1572438.24
867.26,870,860.3,864.81,1133493.65
861,871,858.99,867.26,3065324.64
874.03,879.9,860,861,2908201.9
876.6,879.66,870.02,874.03,2800500.77
886.07,890.9,873.16,876.6,4084214.67
885.19,888.9,883,886.07,1667444.9
886.21,891,883.01,885.19,1798717.99
880.71,889.97,880.1,886.21,2709370.42
883.42,887.1,880.1,880.71,1715502.25
877.9,885.66,876.01,883.42,1629528.94
870.11,880,870,877.9,1209822.79
879.99,880.41,870,870.11,1509173.13
880.7,884,878,879.99,949271.01
880.14,886,879,880.53,1369658.9
878.39,885,876.95,880.14,1657208.58
876.23,882.31,875.5,878.39,1941181.81
869.79,876.56,869.04,876.23,1204608.64
874.66,875.62,868.16,869.79,1277489.23
873.07,879,868.42,874.66,2116314.82
881.31,882,864.21,873.07,3334324.81
889,890.77,872,881.31,3404542.82
883.02,890.17,880,889,2172845.28
885.17,888.8,880,883.76,1693325.96
878.13,886.49,877.01,885.17,2206778.27
891.49,891.89,873.64,878.13,3775803.04
893.99,895.94,890.57,891.49,2403296.04
890.89,897.49,888.23,893.99,4089613.51
878.13,895,877,890.89,4183588.68
876.82,879.96,873.56,878.13,2059669.2
873.8,877.95,871,876.82,1744169.44
869.4,874.88,866.75,873.8,1549019.19
861.4,871.76,861.35,869.4,1680924.02
864,866.98,861.03,861.4,2231165.13
872.09,873.81,860.69,864,2387104.45
867.98,875,867.16,872.09,1989456.67
870,871,863.24,867.98,1341201.44
866.43,873,864.39,870,2228747.56
866.12,874.74,862,866.43,2392180.99
864.02,866.12,858,866.12,1590821.93
865.94,867.81,861.94,864.02,1321437.77
870.4,873.33,860,865.94,1759894.35
864.01,873.5,857,870.4,2642307.25
875.05,880,862.23,864.01,3822285.1
874.88,877.8,870,875.05,2589024.82
869.3,880.12,867,874.88,5251471.98
866.62,882,865.03,869.3,7560313.78
861.13,866.99,852,866.99,3481590.91
859.99,863.96,855.13,861.13,3075731.66
844.94,865.9,841,859.99,3418573.48
841.9,848,840.44,844.94,1916323.28
842.18,842.99,835.05,841.9,1469251.12
834.48,843.76,833,842.18,1117814.67
848.81,849.72,833.05,834.48,1480372.16
853.4,854.92,844.59,848.81,1486440.06
845,855.07,841.34,853.4,2896521.27
854,855,845,845,2079513.62
853.04,856.33,849.4,854,2303003.4
842.02,853.31,841.45,853.04,2434584.53
841.19,846.42,837.59,842.02,1200259.71
846.95,846.98,835.04,841.19,1833550.16
839.41,846.98,833.1,846.95,1707409.48
838.03,841.2,833.01,839.41,1473337.79
832.5,840.01,830.72,838.03,1582653.49
829.99,837.9,828.33,832.5,1948322.83
825.79,831.36,820.1,829.99,2134283.91
826.38,829.62,823.55,825.79,1218546.88
823.33,828.94,821,826.38,1983130.37
819.99,827,813.18,822.5,3500797.83
823.64,829.86,816,819.99,2361066.73
829.08,832.99,819.05,823.64,2312131.45
837.6,839,827,829.08,1739280.22
838.85,846.06,834.48,837.6,1749578.84
836.65,842.51,833,838.85,1290693.82
835.2,839.34,830.5,836.65,2171075.94
840.95,846,832,835.2,1932945.72
843.5,847.51,837,840.95,2033959.44
840.24,849.5,838.99,843.5,2075031.54
837.32,843,833.8,840.24,2447965.41
832,841.39,828.53,837,2266059.7
829.42,834.79,820.62,832,2329617.54
841,841.74,828.1,829.42,1888353.51
827.05,842.55,827.02,841,1991276.19
833.94,833.94,823.24,827.05,1184992.32
826.89,836.57,825.76,833.94,1529796.67
818.78,832,813,826.89,1811083.06
808.6,821.49,806.66,818.56,2244897.42
821.02,821.11,805,808.6,3891334.62
818.6,823.63,815,821.02,1487149.96
823,830.49,818.58,818.6,2213103.4
832.82,834.99,822.69,823,1910627.19
830.37,836,824,832.82,2002794.95
834.1,836.57,828,830.37,1883915.32
829.13,839.67,824,834.1,2697596.64
835.26,835.26,821.64,829.13,2540057.17
828.02,838.95,821.16,835.26,2978828.36
827.02,835,819.19,828.1,3016270.79
844.22,844.22,820.26,827.02,6026913.2
839,851.73,838,844.22,2241177.69
846.75,847,834.04,839,3002601.76
847.54,851,831.32,846.75,5051658.8
870.73,871.73,840,847.54,5437998.43
863.38,871.7,861.23,870.73,2339520.71
866.02,873.29,862.77,863.38,2278207.9
871.13,872.28,858.47,866.02,3703362.81
868.92,875,867.52,871.13,3418148.83
866.63,869.75,860,868.92,2922716.97
851.6,868.95,845,866.63,4676521.1
854,859.39,845,851.6,3557434.41
829.89,855,829,854,3123934.1
833.5,842,829.37,829.89,2803603.73
838.73,839.5,823.29,833.16,5192952.91
852,855,830,838.73,3559981.14
846.7,858,845.2,852,3767313.48
841.98,848.44,835.26,846.7,4147331.2
865.1,865.12,840,841.98,8749672.14
869.4,878.15,863.25,865.1,4661986.39
871.14,885,867.07,869.4,8300959.65
870.7,872.58,865.64,871.14,3423211.58
870.32,874.89,859.14,871.12,5323013.67
852.22,875.2,851.85,870.32,6351135.02
855.6,861.45,846.51,852.22,5949786.94
847.49,861.2,845.5,855.6,6498477.47
837.83,849.99,837.78,847.49,5121770.5
829.22,838.8,827.71,837.83,3224615.82
827.37,831.99,813.53,829.22,4703430.52
833,847.86,825.3,827.37,4704962.73
836.07,845.88,826.18,833,8175240.35
813.55,839.5,806.9,836.07,6856527.45
800.5,814.98,794.73,813.55,4774246.31
790.74,802.01,785.99,800.73,4174016.86
801.49,802.02,786.6,790.74,5156216.3
806.45,809.6,800.67,801.49,2650342.5
802.04,807,797.37,806.45,2159401.12
814.41,818.92,797,802.04,4164950.09
811.01,820,803.58,814.41,3001799.3
803.01,811.01,798.72,811.01,2808496.15
795.79,805.1,792,803.01,3079372.66
805.09,807.78,786.6,795.79,4630719.47
809.74,815.39,802.07,805.09,4144810.68
800,818.49,799.67,809.74,6455128.71
797.38,810.5,788.66,800,7728252.23
799.39,806.8,789.01,797.38,9557525.21
827.62,833.89,796.38,799.39,7589888.41
813.33,829.37,812.64,827.62,3770532.59
830,833.88,811.04,813.33,7290146.61
834.1,845,827.27,830,4645127.44
849.74,853.91,834.08,834.1,4038792.89
866,869.25,841.91,849.74,4970122.48
860.73,871.96,860.73,865.99,3356617.51
855.86,868,855.13,860.73,2977950.15
853.31,857,845,855.86,2858859.38
858.14,859.67,849.45,853.31,2777563.81
